PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Namechars,Sex_vals,Embarked_vals
717,1,1,38.0,0,0,227.525,29,1.0,0.0
718,1,2,27.0,0,0,10.5,35,1.0,2.0
720,0,3,33.0,0,0,7.775,28,0.0,2.0
721,1,2,6.0,0,1,33.0,33,1.0,2.0
722,0,3,17.0,1,0,7.0542,25,0.0,2.0
723,0,2,34.0,0,0,13.0,28,0.0,2.0
724,0,2,50.0,0,0,13.0,23,0.0,2.0
725,1,1,27.0,1,0,53.1,29,0.0,2.0
726,0,3,20.0,0,0,8.6625,19,0.0,2.0
727,1,2,30.0,3,0,21.0,43,1.0,2.0
728,1,3,28.0,0,0,7.7375,24,1.0,1.0
730,0,3,25.0,1,0,7.925,29,1.0,2.0
731,1,1,29.0,0,0,211.3375,29,1.0,2.0
732,0,3,11.0,0,0,18.7875,24,0.0,0.0
733,0,2,28.0,0,0,0.0,20,0.0,2.0
736,0,3,28.5,0,0,16.1,20,0.0,2.0
737,0,3,48.0,1,3,34.375,39,1.0,2.0
739,0,3,28.0,0,0,7.8958,18,0.0,2.0
740,0,3,28.0,0,0,7.8958,18,0.0,2.0
741,1,1,28.0,0,0,30.0,27,0.0,2.0
742,0,1,36.0,1,0,78.85,29,0.0,2.0
743,1,1,21.0,2,2,262.375,37,1.0,0.0
744,0,3,24.0,1,0,16.1,17,0.0,2.0
745,1,3,31.0,0,0,7.925,18,0.0,2.0
746,0,1,70.0,1,1,71.0,28,0.0,2.0
747,0,3,16.0,1,1,20.25,27,0.0,2.0
750,0,3,31.0,0,0,7.75,23,0.0,1.0
751,1,2,4.0,1,1,23.0,17,1.0,2.0
752,1,3,6.0,0,1,12.475,19,0.0,2.0
755,1,2,48.0,1,2,65.0,32,1.0,2.0
757,0,3,28.0,0,0,7.7958,28,0.0,2.0
758,0,2,18.0,0,0,11.5,24,0.0,2.0
759,0,3,34.0,0,0,8.05,28,0.0,2.0
760,1,1,33.0,0,0,86.5,56,1.0,2.0
761,0,3,28.0,0,0,14.5,18,0.0,2.0
762,0,3,41.0,0,0,7.125,30,0.0,2.0
763,1,3,20.0,0,0,7.2292,21,0.0,0.0
764,1,1,36.0,1,2,120.0,41,1.0,2.0
765,0,3,16.0,0,0,7.775,22,0.0,2.0
766,1,1,51.0,1,0,77.9583,36,1.0,2.0
767,0,1,28.0,0,0,39.6,25,0.0,0.0
768,0,3,30.5,0,0,7.75,18,1.0,1.0
769,0,3,28.0,1,0,24.15,19,0.0,1.0
771,0,3,24.0,0,0,9.5,22,0.0,2.0
772,0,3,48.0,0,0,7.8542,23,0.0,2.0
773,0,2,57.0,0,0,10.5,17,1.0,2.0
774,0,3,28.0,0,0,7.225,15,0.0,0.0
775,1,2,54.0,1,3,23.0,37,1.0,2.0
776,0,3,18.0,0,0,7.75,39,0.0,2.0
778,1,3,5.0,0,0,12.475,29,1.0,2.0
779,0,3,28.0,0,0,7.7375,23,0.0,1.0
780,1,1,43.0,0,1,211.3375,53,1.0,2.0
781,1,3,13.0,0,0,7.2292,20,1.0,0.0
782,1,1,17.0,1,0,57.0,41,1.0,2.0
783,0,1,29.0,0,0,30.0,22,0.0,2.0
784,0,3,28.0,1,2,23.45,22,0.0,2.0
785,0,3,25.0,0,0,7.05,16,0.0,2.0
786,0,3,25.0,0,0,7.25,34,0.0,2.0
787,1,3,18.0,0,0,7.4958,25,1.0,2.0
788,0,3,8.0,4,1,29.125,25,0.0,1.0
791,0,3,28.0,0,0,7.75,24,0.0,1.0
792,0,2,16.0,0,0,26.0,19,0.0,2.0
793,0,3,28.0,8,2,69.55,23,1.0,2.0
794,0,1,28.0,0,0,30.6958,24,0.0,0.0
796,0,2,39.0,0,0,13.0,18,0.0,2.0
798,1,3,31.0,0,0,8.6833,16,1.0,2.0
799,0,3,30.0,0,0,7.2292,28,0.0,0.0
803,1,1,11.0,1,2,120.0,35,0.0,2.0
804,1,3,0.42,0,1,8.5167,31,0.0,0.0
807,0,1,39.0,0,0,0.0,22,0.0,2.0
808,0,3,18.0,0,0,7.775,31,1.0,2.0
810,1,1,33.0,1,0,53.1,46,1.0,2.0
812,0,3,39.0,0,0,24.15,17,0.0,2.0
813,0,2,35.0,0,0,10.5,25,0.0,2.0
814,0,3,6.0,4,2,31.275,34,1.0,2.0
815,0,3,30.5,0,0,8.05,26,0.0,2.0
816,0,1,28.0,0,0,0.0,16,0.0,2.0
817,0,3,23.0,0,0,7.925,28,1.0,2.0
818,0,2,31.0,1,1,37.0042,18,0.0,0.0
819,0,3,43.0,0,0,6.45,32,0.0,2.0
820,0,3,10.0,3,2,27.9,28,0.0,2.0
823,0,1,38.0,0,0,0.0,31,0.0,2.0
824,1,3,27.0,0,1,12.475,18,1.0,2.0
829,1,3,28.0,0,0,7.75,28,0.0,1.0
831,1,3,15.0,1,0,14.4542,39,1.0,0.0
832,1,2,0.83,1,1,18.75,31,0.0,2.0
833,0,3,28.0,0,0,7.2292,14,0.0,0.0
834,0,3,23.0,0,0,7.8542,22,0.0,2.0
836,1,1,39.0,1,1,83.1583,27,1.0,0.0
837,0,3,21.0,0,0,8.6625,16,0.0,2.0
838,0,3,28.0,0,0,8.05,19,0.0,2.0
840,1,1,28.0,0,0,29.7,20,0.0,0.0
841,0,3,20.0,0,0,7.925,27,0.0,2.0
843,1,1,30.0,0,0,31.0,23,1.0,0.0
844,0,3,34.5,0,0,6.4375,26,0.0,0.0
845,0,3,17.0,0,0,8.6625,19,0.0,2.0
848,0,3,35.0,0,0,7.8958,18,0.0,0.0
850,1,1,28.0,1,0,89.1042,44,1.0,0.0
851,0,3,4.0,4,2,31.275,39,0.0,2.0
854,1,1,16.0,0,1,39.4,25,1.0,2.0
855,0,2,44.0,1,0,26.0,45,1.0,2.0
857,1,1,45.0,1,1,164.8667,42,1.0,2.0
858,1,1,51.0,0,0,26.55,22,0.0,2.0
860,0,3,28.0,0,0,7.2292,16,0.0,0.0
861,0,3,41.0,2,0,14.1083,23,0.0,2.0
862,0,2,21.0,1,0,11.5,27,0.0,2.0
863,1,1,48.0,0,0,25.9292,51,1.0,2.0
864,0,3,28.0,8,2,69.55,33,1.0,2.0
865,0,2,24.0,0,0,13.0,22,0.0,2.0
867,1,2,27.0,1,0,13.8583,28,1.0,0.0
868,0,1,31.0,0,0,50.4958,36,0.0,2.0
870,1,3,4.0,1,1,11.1333,31,0.0,2.0
872,1,1,47.0,1,1,52.5542,48,1.0,2.0
873,0,1,33.0,0,0,5.0,24,0.0,2.0
874,0,3,47.0,0,0,9.0,27,0.0,2.0
875,1,2,28.0,1,0,24.0,37,1.0,0.0
877,0,3,20.0,0,0,9.8458,29,0.0,2.0
881,1,2,25.0,0,1,26.0,44,1.0,2.0
882,0,3,33.0,0,0,7.8958,18,0.0,2.0
883,0,3,22.0,0,0,10.5167,28,1.0,2.0
884,0,2,28.0,0,0,10.5,29,0.0,2.0
885,0,3,25.0,0,0,7.05,22,0.0,2.0
887,0,2,27.0,0,0,13.0,21,0.0,2.0
888,1,1,19.0,0,0,30.0,28,1.0,2.0
889,0,3,28.0,1,2,23.45,40,1.0,2.0
890,1,1,26.0,0,0,30.0,21,0.0,0.0
891,0,3,32.0,0,0,7.75,19,0.0,1.0
